AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountStatus,CommitmentDiscountType,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,SkuId,SkuPriceId,SubAccountId,SubAccountName,x_CostCategories,x_Discounts,x_Operation,x_ServiceCode,x_UsageType,Tags
,0.0128825806,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.096 per GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Sydney),Usage-Based,2025-03-01 23:00:00+00:00,2025-03-01 22:00:00+00:00,,,,,,0.1720430108,GB-Months,0.0128825806,0.074879999717,0.0128825806,Amazon Web Services Australia Pty Ltd,0.016516129,0.096,Standard,0.1720430108,GB-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),iby-51222o13154231p2o,,volume,Storage,Amazon Elastic Compute Cloud,QR74UAP3E9WUYT9B,QR74UAP3E9WUYT9B.JRTCKXETXF.6YS6EN2CT7,741517094250,gsafj-pbecvg-rdhvcqri-abacebq,[],"[[""total_discount"", -0.0036335484], [""bundled_discount"", 0.0], [""edp_discount"", -0.0036335484]]",CreateVolume-Gp3,AmazonEC2,APS2-EBS:VolumeUsage.gp3,"{""application"": ""gsafj-pbecvg-rdhvcqri-abacebq"", ""environment"": null, ""cost_center"": null}"
,0.0039,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.005 per Idle public IPv4 address per hour,Usage-Based,2025-03-11 21:00:00+00:00,2025-03-11 20:00:00+00:00,,,,,,1,Hours,0.0039,0.0039,0.0039,Amazon Web Services Australia Pty Ltd,0.005,0.005,Standard,1,Hours,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:rp7:nc-fbhgurnfg-7:509128127298:rynfgvp-vc/rvcnyybp-0q31o112,,,Networking,Amazon Virtual Private Cloud,QY2D8KY5X94X6NEB,QY2D8KY5X94X6NEB.JRTCKXETXF.6YS6EN2CT7,509128127298,gsafj-bf-cgvcf57-cebq,[],"[[""total_discount"", -0.0011], [""bundled_discount"", 0.0], [""edp_discount"", -0.0011]]",AllocateAddressVPC,AmazonVPC,APS2-PublicIPv4:IdleAddress,"{""application"": ""gsafj-bf-cgvcf57-cebq"", ""environment"": null, ""cost_center"": null}"
,0.0081347143,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,AWS Lambda - Total Compute - Asia Pacific (Sydney)-Tier-1,Usage-Based,2025-03-06 03:00:00+00:00,2025-03-06 02:00:00+00:00,,,,,,625.746,Lambda-GB-Seconds,0.0081347143,1.30E-05,0.0081347143,Amazon Web Services Australia Pty Ltd,0.0104291209,1.67E-05,Standard,625.746,Lambda-GB-Seconds,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:ynzoqn:nc-fbhgurnfg-7:986507414566:shapgvba:PWZrgeb,,,Compute,AWS Lambda,4NX7CSSF3DVPXWBT,4NX7CSSF3DVPXWBT.JRTCKXETXF.CUKFZ388N3,986507414566,fg-fcv-nyrkngenvaf-abacebq,[],"[[""total_discount"", -0.0022944066], [""bundled_discount"", 0.0], [""edp_discount"", -0.0022944066]]",Invoke,AWSLambda,APS2-Lambda-GB-Second,"{""application"": ""fg-fcv-nyrkngenvaf-abacebq"", ""environment"": null, ""cost_center"": ""5555956792""}"
,0,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.000 per GB - data transfer in per month,Usage-Based,2025-03-13 14:00:00+00:00,2025-03-13 13:00:00+00:00,,,,,,3.73E-08,GB,0,0,0,Amazon Web Services Australia Pty Ltd,0,0,Standard,3.73E-08,GB,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,External,nea:njf:rp7:nc-fbhgurnfg-7:322655972426:angtngrjnl/ang-530o1ror802qn4r4r,,,Compute,Amazon Elastic Compute Cloud,V97WX8KBR4YWXNJZ,V97WX8KBR4YWXNJZ.JRTCKXETXF.6YS6EN2CT7,322655972426,gsafj-pfg-bcraqngncbegny-cebq,[],"[[""total_discount"", 0.0], [""bundled_discount"", 0.0], [""edp_discount"", null]]",RunInstances,AmazonEC2,APS2-DataTransfer-In-Bytes,"{""application"": ""gsafj-pfg-bcraqngncbegny-cebq"", ""environment"": null, ""cost_center"": ""6555611561""}"
,4.62E-06,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.06 per GB-month for warm backup storage for EFS,Usage-Based,2025-03-18 00:00:00+00:00,2025-03-17 23:00:00+00:00,,,,,,9.87E-05,GB-Months,4.62E-06,0.046800194219,4.62E-06,Amazon Web Services Australia Pty Ltd,5.92E-06,0.06,Standard,9.87E-05,GB-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:onpxhc:nc-fbhgurnfg-7:483708003745:erpbirel-cbvag:009890q6-26o7-9r5o-n051-s1s977oo2n98,,,Storage,AWS Backup,K6RJR8JFY3U844Y4,K6RJR8JFY3U844Y4.JRTCKXETXF.6YS6EN2CT7,483708003745,gsafj-pbecbengrvg-rdhvcqri-abacebq,[],"[[""total_discount"", -1.3022e-06], [""bundled_discount"", 0.0], [""edp_discount"", -1.3022e-06]]",Storage,AWSBackup,APS2-WarmStorage-ByteHrs-EFS,"{""application"": ""gsafj-pbecbengrvg-rdhvcqri-abacebq"", ""environment"": null, ""cost_center"": ""6555637679""}"
,0.0049030116,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.055 per GB-Month of snapshot data stored - Asia Pacific (Sydney),Usage-Based,2025-03-12 00:00:00+00:00,2025-03-11 23:00:00+00:00,,,,,,0.1142893145,GB-Months,0.0049030116,0.04290000007,0.0049030116,Amazon Web Services Australia Pty Ltd,0.0062859123,0.055,Standard,0.1142893145,GB-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:rp7:nc-fbhgurnfg-7:398842242803:fancfubg/fanc-56pqoo0n64snrqs65,,,Storage,Amazon Elastic Compute Cloud,759N2ESGG4Z2C95V,759N2ESGG4Z2C95V.JRTCKXETXF.6YS6EN2CT7,398842242803,gsafj-rnv-ocn-cebq,[],"[[""total_discount"", -0.0013829007], [""bundled_discount"", 0.0], [""edp_discount"", -0.0013829007]]",CreateSnapshot,AmazonEC2,APS2-EBS:SnapshotUsage,"{""application"": ""gsafj-rnv-ocn-cebq"", ""environment"": null, ""cost_center"": ""5555637666""}"
,4.68E-06,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.03 per 10000 KMS requests in Asia Pacific (Sydney),Usage-Based,2025-03-15 17:00:00+00:00,2025-03-15 16:00:00+00:00,,,,,,2,Requests,4.68E-06,2.34E-06,4.68E-06,Amazon Web Services Australia Pty Ltd,6.00E-06,3.00E-06,Standard,2,Requests,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:xzf:nc-fbhgurnfg-7:506175825064:xrl/4o472o65-9o4p-9rpr-o8o4-so50ns0op4p0,,,Identity,AWS Key Management Service,2V8H8RKD5G49TF84,2V8H8RKD5G49TF84.JRTCKXETXF.6YS6EN2CT7,506175825064,gsafj-qpvf-gav-abacebq,[],"[[""total_discount"", -1.32e-06], [""bundled_discount"", 0.0], [""edp_discount"", -1.32e-06]]",ListAliases,awskms,ap-southeast-2-KMS-Requests,"{""application"": ""gsafj-qpvf-gav-abacebq"", ""environment"": null, ""cost_center"": ""5555697595""}"
,0.0008051613,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.096 per GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Sydney),Usage-Based,2025-03-10 03:00:00+00:00,2025-03-10 02:00:00+00:00,,,,,,0.0107526882,GB-Months,0.0008051613,0.074880000705,0.0008051613,Amazon Web Services Australia Pty Ltd,0.0010322581,0.096,Standard,0.0107526882,GB-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),iby-5040671270051os2n,,volume,Storage,Amazon Elastic Compute Cloud,QR74UAP3E9WUYT9B,QR74UAP3E9WUYT9B.JRTCKXETXF.6YS6EN2CT7,110780570035,ezf-onuf-njf-abacebq,[],"[[""total_discount"", -0.0002270968], [""bundled_discount"", 0.0], [""edp_discount"", -0.0002270968]]",CreateVolume-Gp3,AmazonEC2,APS2-EBS:VolumeUsage.gp3,"{""application"": ""QEVIRF Ertvfgel Cebprffbef 7"", ""environment"": null, ""cost_center"": ""5555637688""}"
,7.23E-06,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.09 per GB - Asia Pacific (Tokyo) data transfer to Asia Pacific (Sydney),Usage-Based,2025-03-06 05:00:00+00:00,2025-03-06 04:00:00+00:00,,,,,,0.0001029996,GB,7.23E-06,0.070200272622,7.23E-06,Amazon Web Services Australia Pty Ltd,9.27E-06,0.09,Standard,0.0001029996,GB,AWS,Amazon Web Services Australia Pty Ltd,ap-northeast-1,Asia Pacific (Tokyo),,,,Compute,AWS Lambda,ABK2X62TAPM5BT68,ABK2X62TAPM5BT68.JRTCKXETXF.6YS6EN2CT7,80088901796,gsafj-qpvf-gav-cebq,[],"[[""total_discount"", -2.0394e-06], [""bundled_discount"", 0.0], [""edp_discount"", -2.0394e-06]]",Invoke,AWSLambda,APN1-APS2-AWS-Out-Bytes,
,0.0013572,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.00174 per Instance-hrs for EC2-Scanning in Asia Pacific (Sydney),Usage-Based,2025-03-06 00:00:00+00:00,2025-03-05 23:00:00+00:00,,,,,,1,Instance-Hours,0.0013572,0.0013572,0.0013572,Amazon Web Services Australia Pty Ltd,0.00174,0.00174,Standard,1,Instance-Hours,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:rp7:nc-fbhgurnfg-7:449255263103:vafgnapr/v-5roor359r62194357,,,Security,Amazon Inspector,3RS7K65H7WVBUJP4,3RS7K65H7WVBUJP4.JRTCKXETXF.6YS6EN2CT7,449255263103,gsafj-pfg-fpngf-qri,[],"[[""total_discount"", -0.0003828], [""bundled_discount"", 0.0], [""edp_discount"", -0.0003828]]",active,AmazonInspectorV2,APS2-EC2-Scanning,"{""application"": ""gsafj-pfg-fpngf-qri"", ""environment"": null, ""cost_center"": null}"
