AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountStatus,CommitmentDiscountType,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,SkuId,SkuPriceId,SubAccountId,SubAccountName,x_CostCategories,x_Discounts,x_Operation,x_ServiceCode,x_UsageType,Tags
,2.19E-08,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.094 per GB - next 100 TB / month data transfer out,Usage-Based,2025-03-10 22:00:00+00:00,2025-03-10 21:00:00+00:00,,,,,,2.99E-07,GB,2.19E-08,0.073244147157,2.19E-08,Amazon Web Services Australia Pty Ltd,2.81E-08,0.094,Standard,2.99E-07,GB,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),fgnpxfrg-np-fcyhax-fgnpxfrg-2ss5r-pjonpxhcf8ohpxrg-jw9dgof8ragc,,bucket,Storage,Amazon Simple Storage Service,KRXM4TG87VW2NPHA,KRXM4TG87VW2NPHA.JRTCKXETXF.N9EW5UVVPA,956866535601,gsafj-bf-argjbex-cebq,[],"[[""total_discount"", -6.2e-09], [""bundled_discount"", 0.0], [""edp_discount"", -6.2e-09]]",ReadBucketServerSideEncryption,AmazonS3,APS2-DataTransfer-Out-Bytes,"{""application"": ""gsafj-bf-argjbex-cebq"", ""environment"": null, ""cost_center"": ""5555687575""}"
,3.43E-07,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,"$0.0044 per 10,000 GET and all other requests",Usage-Based,2025-03-04 17:00:00+00:00,2025-03-04 16:00:00+00:00,,,,,,1,Requests,3.43E-07,3.43E-07,3.43E-07,Amazon Web Services Australia Pty Ltd,4.40E-07,4.40E-07,Standard,1,Requests,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),njf-dhvpxfrghc-cngpucbyvpl-npprff-ybt-969729385293-fr2sh,,bucket,Storage,Amazon Simple Storage Service,ZE67FX933AEQ43H2,ZE67FX933AEQ43H2.JRTCKXETXF.6YS6EN2CT7,969729385293,gsafj-qpvf-pnzc-cebq,[],"[[""total_discount"", -9.68e-08], [""bundled_discount"", 0.0], [""edp_discount"", -9.68e-08]]",ReadLocation,AmazonS3,APS2-Requests-Tier2,"{""application"": ""gsafj-qpvf-pnzc-cebq"", ""environment"": null, ""cost_center"": ""5555697595""}"
,0,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.00 per GB - regional data transfer - in/out/between EC2 Azs or using elastic IPs or ELB,Usage-Based,2025-03-09 20:00:00+00:00,2025-03-09 19:00:00+00:00,,,,,,0.0005483506,GB,0,0,0,Amazon Web Services Australia Pty Ltd,0,0,Standard,0.0005483506,GB,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),v-56n89rq5r508po3o6,,,Compute,Amazon Elastic Compute Cloud,5EA4W2JJSR2QXS69,5EA4W2JJSR2QXS69.JRTCKXETXF.6YS6EN2CT7,110780570035,ezf-onuf-njf-abacebq,[],"[[""total_discount"", 0.0], [""bundled_discount"", 0.0], [""edp_discount"", null]]",InterZone-In,AmazonEC2,APS2-DataTransfer-xAZ-In-Bytes,"{""application"": ""Benpyr Tbyq Funerq Qngnonfr"", ""environment"": null, ""cost_center"": ""5555637688""}"
,0.0005101215,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.012 per GB-month for cold backup storage for VMware,Usage-Based,2025-03-17 00:00:00+00:00,2025-03-16 23:00:00+00:00,,,,,,0.0545001643,GB-Months,0.0005101215,0.009359999306,0.0005101215,Amazon Web Services Australia Pty Ltd,0.000654002,0.012,Standard,0.0545001643,GB-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:onpxhc:nc-fbhgurnfg-7:790639323661:erpbirel-cbvag:n15rsn70-0q85-9q21-45o1-r05328rr937p,,,Storage,AWS Backup,S2HSTTS2H33SVCJT,S2HSTTS2H33SVCJT.JRTCKXETXF.6YS6EN2CT7,790639323661,gsafj-uf-izp-cebq,[],"[[""total_discount"", -0.0001438804], [""bundled_discount"", 0.0], [""edp_discount"", -0.0001438804]]",Storage,AWSBackup,APS2-ColdStorage-ByteHrs-VirtualMachine,
,0,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.048 per provisioned MiBps-month of gp3 - Asia Pacific (Sydney),Usage-Based,2025-03-06 07:00:00+00:00,2025-03-06 06:00:00+00:00,,,,,,0,GiB/Second-Months,0,38.3385600014491,0,Amazon Web Services Australia Pty Ltd,0,49.152,Standard,0,GiB/Second-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),iby-57n8srqq967944o95,,,Storage,Amazon Elastic Compute Cloud,NR674TZUSQXFCVM8,NR674TZUSQXFCVM8.JRTCKXETXF.6YS6EN2CT7,110780570035,ezf-onuf-njf-abacebq,[],"[[""total_discount"", 0.0], [""bundled_discount"", 0.0], [""edp_discount"", 0.0]]",CreateVolume-Gp3,AmazonEC2,APS2-EBS:VolumeP-Throughput.gp3,"{""application"": ""NepTvf Cyngsbez"", ""environment"": null, ""cost_center"": ""5555637688""}"
,0.0446126076,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.012 per GB-month for cold backup storage for VMware,Usage-Based,2025-03-06 00:00:00+00:00,2025-03-05 23:00:00+00:00,,,,,,4.7663042268,GB-Months,0.0446126076,0.009360000008,0.0446126076,Amazon Web Services Australia Pty Ltd,0.0571956507,0.012,Standard,4.7663042268,GB-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:onpxhc:nc-fbhgurnfg-7:790639323661:erpbirel-cbvag:2n71937n-8771-9026-3q12-r75805q1q285,,,Storage,AWS Backup,S2HSTTS2H33SVCJT,S2HSTTS2H33SVCJT.JRTCKXETXF.6YS6EN2CT7,790639323661,gsafj-uf-izp-cebq,[],"[[""total_discount"", -0.0125830432], [""bundled_discount"", 0.0], [""edp_discount"", -0.0125830432]]",Storage,AWSBackup,APS2-ColdStorage-ByteHrs-VirtualMachine,"{""application"": ""IZP Ubfgvat"", ""environment"": null, ""cost_center"": null}"
,3.43E-07,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,"$0.0044 per 10,000 GET and all other requests",Usage-Based,2025-03-01 11:00:00+00:00,2025-03-01 10:00:00+00:00,,,,,,1,Requests,3.43E-07,3.43E-07,3.43E-07,Amazon Web Services Australia Pty Ltd,4.40E-07,4.40E-07,Standard,1,Requests,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),fgnpxfrg-np-fcyhaxpberfgnpxfrg-q0-pjonpxhcf8ohpxrg-0gaslpyinec0,,bucket,Storage,Amazon Simple Storage Service,ZE67FX933AEQ43H2,ZE67FX933AEQ43H2.JRTCKXETXF.6YS6EN2CT7,897689616263,gsafj-bf-frphevgl-cebq,[],"[[""total_discount"", -9.68e-08], [""bundled_discount"", 0.0], [""edp_discount"", -9.68e-08]]",ReadBucketReplication,AmazonS3,APS2-Requests-Tier2,"{""application"": ""gsafj-bf-frphevgl-cebq"", ""environment"": null, ""cost_center"": ""5555687575""}"
,0.0100645161,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.096 per GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Sydney),Usage-Based,2025-03-17 20:00:00+00:00,2025-03-17 19:00:00+00:00,,,,,,0.1344086022,GB-Months,0.0100645161,0.074879999756,0.0100645161,Amazon Web Services Australia Pty Ltd,0.0129032258,0.096,Standard,0.1344086022,GB-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),iby-570pr79oror84ro12,,volume,Storage,Amazon Elastic Compute Cloud,QR74UAP3E9WUYT9B,QR74UAP3E9WUYT9B.JRTCKXETXF.6YS6EN2CT7,110780570035,ezf-onuf-njf-abacebq,[],"[[""total_discount"", -0.0028387097], [""bundled_discount"", 0.0], [""edp_discount"", -0.0028387097]]",CreateVolume-Gp3,AmazonEC2,APS2-EBS:VolumeUsage.gp3,"{""application"": ""QEVIRF Ertvfgel Pbagebyyre"", ""environment"": null, ""cost_center"": ""5555637688""}"
,1.70E-09,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.02 per GB - US East (Northern Virginia) data transfer to Asia Pacific (Sydney),Usage-Based,2025-03-05 07:00:00+00:00,2025-03-05 06:00:00+00:00,,,,,,1.12E-07,GB,1.70E-09,0.015205724508,1.70E-09,Amazon Web Services Australia Pty Ltd,2.20E-09,0.02,Standard,1.12E-07,GB,AWS,Amazon Web Services Australia Pty Ltd,us-east-1,US East (N. Virginia),,,,Storage,Amazon Glacier,6UXYTS4EWKB6WXM9,6UXYTS4EWKB6WXM9.JRTCKXETXF.6YS6EN2CT7,730912355563,gsafj-pbecbengrvg-rdhvccho-cebq,[],"[[""total_discount"", -5e-10], [""bundled_discount"", 0.0], [""edp_discount"", -5e-10]]",ListVaults,AmazonGlacier,USE1-APS2-AWS-Out-Bytes,
,3.43E-07,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,"$0.0044 per 10,000 GET and all other requests",Usage-Based,2025-03-11 14:00:00+00:00,2025-03-11 13:00:00+00:00,,,,,,1,Requests,3.43E-07,3.43E-07,3.43E-07,Amazon Web Services Australia Pty Ltd,4.40E-07,4.40E-07,Standard,1,Requests,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),cgvcf-ohvyq-ffvf-onpxhcf-jrrxyl,,bucket,Storage,Amazon Simple Storage Service,ZE67FX933AEQ43H2,ZE67FX933AEQ43H2.JRTCKXETXF.6YS6EN2CT7,235045897147,gsafj-bf-cgvcf57-abacebq,[],"[[""total_discount"", -9.68e-08], [""bundled_discount"", 0.0], [""edp_discount"", -9.68e-08]]",ReadBucketInventory,AmazonS3,APS2-Requests-Tier2,"{""application"": ""gsafj-bf-cgvcf57-abacebq"", ""environment"": null, ""cost_center"": ""5555687575""}"
,0.000204061,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.012 per GB-month for cold backup storage for VMware,Usage-Based,2025-03-11 00:00:00+00:00,2025-03-10 23:00:00+00:00,,,,,,0.0218013938,GB-Months,0.000204061,0.009359997892,0.000204061,Amazon Web Services Australia Pty Ltd,0.0002616167,0.012,Standard,0.0218013938,GB-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:onpxhc:nc-fbhgurnfg-7:790639323661:erpbirel-cbvag:51o4p4q8-062p-9o50-3084-719s7o3r1000,,,Storage,AWS Backup,S2HSTTS2H33SVCJT,S2HSTTS2H33SVCJT.JRTCKXETXF.6YS6EN2CT7,790639323661,gsafj-uf-izp-cebq,[],"[[""total_discount"", -5.75557e-05], [""bundled_discount"", 0.0], [""edp_discount"", -5.75557e-05]]",Storage,AWSBackup,APS2-ColdStorage-ByteHrs-VirtualMachine,"{""application"": ""IZP Ubfgvat"", ""environment"": null, ""cost_center"": null}"
,0,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.048 per provisioned MiBps-month of gp3 - Asia Pacific (Sydney),Usage-Based,2025-03-09 15:00:00+00:00,2025-03-09 14:00:00+00:00,,,,,,0,GiB/Second-Months,0,38.3385600014491,0,Amazon Web Services Australia Pty Ltd,0,49.152,Standard,0,GiB/Second-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),iby-5opr04nqrr9285310,,,Storage,Amazon Elastic Compute Cloud,NR674TZUSQXFCVM8,NR674TZUSQXFCVM8.JRTCKXETXF.6YS6EN2CT7,110780570035,ezf-onuf-njf-abacebq,[],"[[""total_discount"", 0.0], [""bundled_discount"", 0.0], [""edp_discount"", 0.0]]",CreateVolume-Gp3,AmazonEC2,APS2-EBS:VolumeP-Throughput.gp3,"{""application"": ""Benpyr Sbezf Cyngsbez"", ""environment"": null, ""cost_center"": ""5555637688""}"
ap-southeast-2,0.01248,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.002/ Automation Step in AWS Commercial Regions,Usage-Based,2025-03-03 09:00:00+00:00,2025-03-03 08:00:00+00:00,,,,,,8,Steps,0.01248,0.00156,0.01248,Amazon Web Services Australia Pty Ltd,0.016,0.002,Standard,8,Steps,AWS,Amazon Web Services Australia Pty Ltd,global,Any,3n40747n-9q6q-90ro-n353-161qrpns5o1p,,,Management and Governance,AWS Systems Manager,2TX5BGM79CBFNY4H,2TX5BGM79CBFNY4H.JRTCKXETXF.FF8BMSDA2R,57816637909,gsafj-pbecbengrvg-rdhvcceq-cebq,[],"[[""total_discount"", -0.00352], [""bundled_discount"", 0.0], [""edp_discount"", -0.00352]]",CountAutomation,AWSSystemsManager,AWS-Auto-Steps-Tier1,
,0.0120774194,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.096 per GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Sydney),Usage-Based,2025-03-01 23:00:00+00:00,2025-03-01 22:00:00+00:00,,,,,,0.1612903226,GB-Months,0.0120774194,0.074880000271,0.0120774194,Amazon Web Services Australia Pty Ltd,0.015483871,0.096,Standard,0.1612903226,GB-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),iby-5809sp806p95nq286,,volume,Storage,Amazon Elastic Compute Cloud,QR74UAP3E9WUYT9B,QR74UAP3E9WUYT9B.JRTCKXETXF.6YS6EN2CT7,779957659224,ezf-onuf-njf-cebq,[],"[[""total_discount"", -0.0034064516], [""bundled_discount"", 0.0], [""edp_discount"", -0.0034064516]]",CreateVolume-Gp3,AmazonEC2,APS2-EBS:VolumeUsage.gp3,"{""application"": ""Ebnq Nffrg Znantrzrag Flfgrz"", ""environment"": null, ""cost_center"": ""5555637688""}"
,0,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.00 per GB - regional data transfer - in/out/between EC2 Azs or using elastic IPs or ELB,Usage-Based,2025-03-10 12:00:00+00:00,2025-03-10 11:00:00+00:00,,,,,,0.0015237341,GB,0,0,0,Amazon Web Services Australia Pty Ltd,0,0,Standard,0.0015237341,GB,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),v-51pr90s9035901o37,,,Compute,Amazon Elastic Compute Cloud,5EA4W2JJSR2QXS69,5EA4W2JJSR2QXS69.JRTCKXETXF.6YS6EN2CT7,110780570035,ezf-onuf-njf-abacebq,[],"[[""total_discount"", 0.0], [""bundled_discount"", 0.0], [""edp_discount"", null]]",InterZone-In,AmazonEC2,APS2-DataTransfer-xAZ-In-Bytes,"{""application"": ""Ragrecevfr Qngn Jnerubhfr"", ""environment"": null, ""cost_center"": ""5555637688""}"
,7.70E-09,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.094 per GB - next 100 TB / month data transfer out,Usage-Based,2025-03-09 11:00:00+00:00,2025-03-09 10:00:00+00:00,,,,,,1.05E-07,GB,7.70E-09,0.07319391635,7.70E-09,Amazon Web Services Australia Pty Ltd,9.90E-09,0.094,Standard,1.05E-07,GB,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),njf-jns-ybt-gpqp-qri-fvg,,bucket,Storage,Amazon Simple Storage Service,KRXM4TG87VW2NPHA,KRXM4TG87VW2NPHA.JRTCKXETXF.N9EW5UVVPA,996429845353,fg-svanaprvg-ncc-abacebq,[],"[[""total_discount"", -2.2e-09], [""bundled_discount"", 0.0], [""edp_discount"", -2.2e-09]]",ReadVersioningProps,AmazonS3,APS2-DataTransfer-Out-Bytes,"{""application"": ""FLG577638"", ""environment"": null, ""cost_center"": ""5555674520""}"
,2.08E-08,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.094 per GB - next 100 TB / month data transfer out,Usage-Based,2025-03-17 22:00:00+00:00,2025-03-17 21:00:00+00:00,,,,,,2.83E-07,GB,2.08E-08,0.073472271282,2.08E-08,Amazon Web Services Australia Pty Ltd,2.66E-08,0.094,Standard,2.83E-07,GB,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),585360357277-8eq-cnegl-ynzoqnf,,bucket,Storage,Amazon Simple Storage Service,KRXM4TG87VW2NPHA,KRXM4TG87VW2NPHA.JRTCKXETXF.N9EW5UVVPA,585360357277,gsafj-pf-qzbovyvgl-abacebq,[],"[[""total_discount"", -5.9e-09], [""bundled_discount"", 0.0], [""edp_discount"", -5.9e-09]]",ReadBucketLifecycle,AmazonS3,APS2-DataTransfer-Out-Bytes,"{""application"": ""gsafj-pf-qzbovyvgl-abacebq"", ""environment"": null, ""cost_center"": ""5555637653""}"
,3.90E-07,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,"$0.50 per 1,000,000 Amazon SNS API Requests per month thereafter",Usage-Based,2025-03-14 19:00:00+00:00,2025-03-14 18:00:00+00:00,,,,,,1,Requests,3.90E-07,3.90E-07,3.90E-07,Amazon Web Services Australia Pty Ltd,5.00E-07,5.00E-07,Standard,1,Requests,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:faf:nc-fbhgurnfg-7:741834794295:f_znfpbg_bcny_eg_rzi_ybpnyr_FHPPRFF,,,Integration,Amazon Simple Notification Service,6GZYJMEWP8DZDUX9,6GZYJMEWP8DZDUX9.JRTCKXETXF.VNJQCFJPS4,741834794295,gsafj-nnv-qngncyngsbez-abacebq,[],"[[""total_discount"", -1.1e-07], [""bundled_discount"", 0.0], [""edp_discount"", -1.1e-07]]",TagResource,AmazonSNS,APS2-Requests-Tier1,"{""application"": ""gsafj-nnv-qngncyngsbez-abacebq"", ""environment"": null, ""cost_center"": ""5555686584""}"
,0,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.048 per provisioned MiBps-month of gp3 - Asia Pacific (Sydney),Usage-Based,2025-03-11 21:00:00+00:00,2025-03-11 20:00:00+00:00,,,,,,0,GiB/Second-Months,0,38.3385599999916,0,Amazon Web Services Australia Pty Ltd,0,49.152,Standard,0,GiB/Second-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),iby-5959s52493qs3ps71,,,Storage,Amazon Elastic Compute Cloud,NR674TZUSQXFCVM8,NR674TZUSQXFCVM8.JRTCKXETXF.6YS6EN2CT7,779957659224,ezf-onuf-njf-cebq,[],"[[""total_discount"", 0.0], [""bundled_discount"", 0.0], [""edp_discount"", 0.0]]",CreateVolume-Gp3,AmazonEC2,APS2-EBS:VolumeP-Throughput.gp3,"{""application"": ""QEVIRF Ertvfgel Cebprffbef"", ""environment"": null, ""cost_center"": ""5555637688""}"
,0,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.006 per provisioned IOPS-month of gp3 - Asia Pacific (Sydney),Usage-Based,2025-03-17 23:00:00+00:00,2025-03-17 22:00:00+00:00,,,,,,0,IOPS-Months,0,0.00468000000001,0,Amazon Web Services Australia Pty Ltd,0,0.006,Standard,0,IOPS-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),iby-5p9po4so85q45r7n7,,,Storage,Amazon Elastic Compute Cloud,69EGQ83GFYZBFNWU,69EGQ83GFYZBFNWU.JRTCKXETXF.6YS6EN2CT7,779957659224,ezf-onuf-njf-cebq,[],"[[""total_discount"", 0.0], [""bundled_discount"", 0.0], [""edp_discount"", 0.0]]",CreateVolume-Gp3,AmazonEC2,APS2-EBS:VolumeP-IOPS.gp3,"{""application"": ""BcraVQ Pbaarpg Cebivqre"", ""environment"": null, ""cost_center"": ""5555637688""}"
,0,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.000 per GB - data transfer in per month,Usage-Based,2025-03-11 09:00:00+00:00,2025-03-11 08:00:00+00:00,,,,,,7.82E-08,GB,0,0,0,Amazon Web Services Australia Pty Ltd,0,0,Standard,7.82E-08,GB,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,External,nea:njf:rynfgvpybnqonynapvat:nc-fbhgurnfg-7:896115818104:ybnqonynapre/arg/zsgrkgreany-qri57-ayoRkgreany/5on57no584rspn8s,,,Networking,Elastic Load Balancing,V97WX8KBR4YWXNJZ,V97WX8KBR4YWXNJZ.JRTCKXETXF.6YS6EN2CT7,896115818104,gsafj-rnv-rzsg-abacebq,[],"[[""total_discount"", 0.0], [""bundled_discount"", 0.0], [""edp_discount"", null]]",LoadBalancing,AWSELB,APS2-DataTransfer-In-Bytes,"{""application"": null, ""environment"": null, ""cost_center"": null}"
ap-southeast-2,8.00E-10,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.285 per GB-Month of storage used beyond first 25 free GB-Months,Usage-Based,2025-03-09 05:00:00+00:00,2025-03-09 04:00:00+00:00,,,,,,3.70E-09,GB-Months,8.00E-10,0.216216216216,8.00E-10,Amazon Web Services Australia Pty Ltd,1.10E-09,0.285,Standard,3.70E-09,GB-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:qlanzbqo:nc-fbhgurnfg-7:118870455538:gnoyr/chyfrHfreCebsvyrf,,,Databases,Amazon DynamoDB,NF4X2QKU7Y7QVY5C,NF4X2QKU7Y7QVY5C.JRTCKXETXF.VYAP54KATQ,118870455538,gsafj-ebz-nvfchyfr-cebq,[],"[[""total_discount"", -2e-10], [""bundled_discount"", 0.0], [""edp_discount"", -2e-10]]",StandardStorage,AmazonDynamoDB,APS2-TimedStorage-ByteHrs,
,0.131433024,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.033 per GB-mo of log storage - Asia Pacific (Sydney),Usage-Based,2025-03-06 08:00:00+00:00,2025-03-06 07:00:00+00:00,,,,,,5.1061780877,GB-Months,0.131433024,0.025740000004,0.131433024,Amazon Web Services Australia Pty Ltd,0.1685038769,0.033,Standard,5.1061780877,GB-Months,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:ybtf:nc-fbhgurnfg-7:779957659224:ybt-tebhc:/ce57/vvo/ybtf/ZQRF_nhqvg,,,Management and Governance,AmazonCloudWatch,SXS5MH23MB3SHA9C,SXS5MH23MB3SHA9C.JRTCKXETXF.6YS6EN2CT7,779957659224,ezf-onuf-njf-cebq,[],"[[""total_discount"", -0.0370708529], [""bundled_discount"", 0.0], [""edp_discount"", -0.0370708529]]",HourlyStorageMetering,AmazonCloudWatch,APS2-TimedStorage-ByteHrs,"{""application"": ""ezf-onuf-njf-cebq"", ""environment"": null, ""cost_center"": ""5555637688""}"
,3.43E-07,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,"$0.0044 per 10,000 GET and all other requests",Usage-Based,2025-03-06 09:00:00+00:00,2025-03-06 08:00:00+00:00,,,,,,1,Requests,3.43E-07,3.43E-07,3.43E-07,Amazon Web Services Australia Pty Ltd,4.40E-07,4.40E-07,Standard,1,Requests,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),f8-pbap7-qbpxrg-svyrf-qri-56,,bucket,Storage,Amazon Simple Storage Service,ZE67FX933AEQ43H2,ZE67FX933AEQ43H2.JRTCKXETXF.6YS6EN2CT7,804200162659,gsafj-pcf-pbaprffvbaf-abacebq,[],"[[""total_discount"", -9.68e-08], [""bundled_discount"", 0.0], [""edp_discount"", -9.68e-08]]",ReadLocation,AmazonS3,APS2-Requests-Tier2,"{""application"": ""gsafj-pcf-pbaprffvbaf-abacebq"", ""environment"": null, ""cost_center"": null}"
,0.04602,428183493173,gsafj-nalpybhq-zcn57-cebq,USD,2025-04-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,Usage,,$0.059 per NAT Gateway Hour,Usage-Based,2025-03-03 03:00:00+00:00,2025-03-03 02:00:00+00:00,,,,,,1,Hours,0.04602,0.04602,0.04602,Amazon Web Services Australia Pty Ltd,0.059,0.059,Standard,1,Hours,AWS,Amazon Web Services Australia Pty Ltd,ap-southeast-2,Asia Pacific (Sydney),nea:njf:rp7:nc-fbhgurnfg-7:861101159521:angtngrjnl/ang-57snp67sq4256r302,,,Compute,Amazon Elastic Compute Cloud,NUKV5QPTHVFBW7DE,NUKV5QPTHVFBW7DE.JRTCKXETXF.6YS6EN2CT7,861101159521,gsafj-pw-ffr-cebq,[],"[[""total_discount"", -0.01298], [""bundled_discount"", 0.0], [""edp_discount"", -0.01298]]",NatGateway,AmazonEC2,APS2-NatGateway-Hours,"{""application"": ""gsafj-pw-ffr-cebq"", ""environment"": null, ""cost_center"": ""5555696539""}"
